,0
0,<pad>
1,<unk>
2,<s>
3,</s>
4,broad
5,championships
6,scent
7,room
8,al
9,drum
10,perfectionist
11,hatred
12,snippet
13,they
14,ger
15,monstars
16,brotha
17,plannin
18,halla
19,gabana
20,wallis
21,express
22,satisfied
23,pent
24,premiere
25,nd
26,brenden
27,s-class
28,local
29,alias
30,dixie
31,sn1
32,papi
33,graded
34,mek
35,queens
36,communicate
37,eagle
38,embrace
39,ezee
40,pesmote
41,trusts
42,ex-love
43,smokin
44,spriing
45,crimson
46,shout
47,chromatic
48,adjust
49,glance
50,killers
51,parents
52,written
53,contribute
54,flutter
55,yep
56,il
57,planted
58,topic
59,greaze
60,oakland
61,charts
62,tequila
63,porsche
64,station
65,rusted
66,olympic
67,succumb
68,o.z
69,throat
70,irreplaceable
71,stolen
72,treating
73,melbourne
74,naturally
75,would
76,mournin
77,quit
78,crown
79,mindful
80,+spur+
81,99
82,lockdown
83,bello
84,enjoy
85,pit
86,making-of-a-legend
87,endorse
88,persian
89,peaking
90,styles
91,luxury
92,credit
93,bangers
94,rainbow
95,mound
96,ayo
97,dog
98,mustang
99,beakin
100,scorpion
101,casamigos
102,pow
103,well
104,dwindling
105,statement
106,dignified
107,kb
108,motives
109,d.m.p.
110,fadeaway
111,due
112,three-month
113,pirates
114,everythi-i-ing
115,three-face
116,trap
117,professional
118,haciendo
119,tadas
120,ollie
121,thandie
122,avenue
123,all-offensive-on-purpose
124,ojuelegba
125,nicer
126,distractions
127,struggle
128,oti
129,knives
130,bitterness
131,pointing
132,bankin
133,butter
134,pope
135,inconvenient
136,hadid
137,su-woo
138,feel
139,d.o.c.
140,glo-ray
141,novels
142,congregation
143,honda
144,beats
145,dinosaurs
146,gowned
147,you
148,borrow
149,zillion
150,shanghai
151,gotten
152,wiser
153,zara
154,can
155,20
156,25
157,selfishly
158,punished
159,o-over
160,rebuilds
161,blazin
162,reason
163,notch
164,ibomb
165,uzo
166,hermes
167,em
168,malice
169,ex-man
170,attacking
171,survive
172,dui
173,spitta
174,frame
175,cheater
176,length
177,pillars
178,cheaper
179,capital
180,bib
181,approached
182,eyein
183,per
184,halloween
185,star
186,wholehearted
187,engine
188,fraud
189,now-a-days
190,anticipatin
191,butterfly
192,roc
193,circle
194,turtles
195,valley
196,jaleel
197,life.
198,timb
199,die
200,kissed
201,tatted
202,tickin
203,visions
204,mailbox
205,died
206,life
207,outgrew
208,shops
209,well-spoken
210,managed
211,urge
212,apocalypse
213,days
214,actors
215,incense
216,wasabi
217,hennessy
218,stuck
219,mounted
220,creaks
221,parlay
222,mommy
223,the
224,held
225,buttfuck
226,information
227,updates
228,chestnut
229,figment
230,ferrari
231,files
232,attempts
233,locate
234,13
235,livin
236,dos
237,bushes
238,bumpin
239,sharp
240,patient
241,catalog
242,deadbeats
243,backing
244,collegy
245,inspire
246,hurd
247,addressin
248,amg
249,sales
250,incandescent
251,whine
252,applause
253,fearless
254,patty
255,committing
256,fluid
257,environment
258,swings
259,eb
260,leads
261,dwele
262,straps
263,cabaret
264,slower
265,mythical
266,august
267,tens
268,uh-uh-uh-oh
269,9/29/2018
270,noticed
271,disposition
272,one-way
273,sleep-overs
274,cement
275,condo
276,pageant
277,manipulative
278,verse
279,turkey
280,conduct
281,betrayed
282,putting
283,wallahi
284,consistent
285,lean
286,info
287,critics
288,woi-oi
289,marino
290,sample
291,off
292,advise
293,basement
294,seasides
295,sponsorship
296,overly
297,house
298,liar
299,popularity
300,chit-chat
301,dunning
302,eto
303,tucked
304,frickin
305,entire
306,paragraphs
307,xanax
308,quote
309,hallways
310,conflicting
311,waves
312,educated
313,slave
314,swayze
315,wooden
316,handlin
317,unlisted
318,stainers
319,tripped
320,buck
321,exhausted
322,arrogance
323,rival
324,desk
325,government
326,thin
327,puts
328,proven
329,doctor
330,oil
331,eyez
332,twinkling
333,pentecost
334,felicia
335,manifest
336,introduction
337,brains
338,buzzing
339,earl
340,dig
341,sneak
342,aging
343,food
344,courtney
345,tsunami
346,answerin
347,prose
348,purse
349,miracles
350,jeezy
351,*
352,recalling
353,nicky
354,trips
355,minneapolis
356,wave
357,driz
358,insane
359,y-m
360,object
361,ak
362,crispy
363,respect
364,jody
365,computers
366,20-year
367,woah
368,stains
369,winners
370,symphony
371,findin
372,nottz
373,thing
374,proved
375,grain
376,everywhere
377,briston
378,maids
379,shadows
380,treat
381,umbrella
382,jockin
383,standby
384,shove
385,secrets
386,*s
387,zo
388,broker
389,smashing
390,sharing
391,ringing
392,cam
393,footprints
394,biggie
395,jo
396,immortalized
397,barging
398,carry
399,detention
400,yall
401,dare
402,bey
403,nose
404,bird
405,betting
406,fatal
407,lining
408,highness
409,sue
410,whets
411,billy
412,fittin
413,multi-colored
414,literally
415,pray
416,america
417,4pm
418,abercrombie
419,melyssa
420,tailor-made
421,unease
422,urban
423,emission
424,reversible
425,boca
426,tearing
427,morningside
428,roy
429,checkless
430,suvs
431,zoner
432,peacemakin
433,ooh-ooh-ooh-ooh-ooh
434,obsessed
435,screw
436,auction
437,rubber
438,swishers
439,parked
440,attached
441,oughta
442,opp
443,blacker
444,neighborhood
445,dockin
446,effortless
447,centerfold
448,charters
449,smallz
450,silly
451,sesame
452,watermelon
453,daze
454,net-net-net
455,county
456,has
457,d-d-d-do
458,officially
459,thread
460,forgetting
461,kappa
462,checklist
463,xl
464,mislead
465,garcelle
466,12
467,space
468,cardboard
469,seinfeld
470,debt
471,ajr
472,band-aid
473,shatterin
474,bankrupt
475,writers
476,fishes
477,seh
478,slippery
479,acts
480,fumbles
481,.bitch
482,referee
483,truce
484,+affection+
485,fellas
486,burton
487,proof
488,reactin
489,snowflake
490,saint
491,pra
492,restaurants
493,yayo
494,jane
495,digress
496,-but
497,giorgio
498,4
499,gustavo
500,ymb
501,forgotten
502,forgiveness
503,yacht
504,concentrated
505,realized
506,meme
507,reinvention
508,treatment
509,substance
510,time
511,firework
512,challenge
513,meechy
514,dickies
515,comin
516,swap
517,sophistication
518,sleepers
519,battles
520,seatin
521,realest
522,ky
523,supermarket
524,thou
525,boyfriends
526,rhythm
527,increase
528,babe
529,door
530,magic
531,rap
532,splinters
533,esther
534,snl
535,methodist
536,masterpiece
537,reconize
538,driveway
539,situations
540,tools
541,sights
542,knob
543,heavenly
544,perfume
545,greater
546,barry
547,cavities
548,step
549,women
550,liars
551,listened
552,religious
553,proposition
554,richmond
555,do
556,friendship
557,version
558,cottonelle
559,duplex
560,hands
561,long
562,2018/2019
563,standin
564,dignity
565,jaz
566,sir
567,publishin
568,piff
569,rusting
570,first-glance
571,ulterior
572,focus
573,braves
574,bury
575,front
576,ones
577,cuts
578,robbing
579,n.y.
580,exactly
581,ak-40
582,sweats
583,party
584,painted
585,thang
586,justice
587,skirts
588,exhausting
589,a-la-la-lollipop
590,thrown-out
591,that`s
592,sacrifices
593,hey-yeah
594,band-aids
595,mind
596,shelter
597,shrugging
598,borns
599,hpnotiq
600,clara
601,d
602,pretentious
603,satanic
604,predicament
605,photoshop
606,beans'a
607,drought
608,years
609,joint
610,era
611,teardrops
612,sleeper
613,mrs
614,whooped
615,drawn
616,babysit
617,clearance
618,satan
619,perfectly
620,dimming
621,2009/
622,flex
623,stomach
624,assim
625,maria
626,influence
627,brentwood
628,pipe
629,mvp
630,aladdin
631,emily
632,neighbourhood
633,thug
634,bows
635,outta
636,flames
637,road
638,chub
639,zodiac
640,tuning
641,slaughter
642,chaperone
643,full-clip
644,two-three
645,kept
646,krauss
647,pan
648,7/11/2018
649,eggs
650,hayley
651,job
652,baka
653,post
654,commit
655,transitioning
656,drunk
657,stole
658,sandal
659,mission
660,wondrously
661,sheeran
662,urgent
